Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
 ,1.96,0.947185861706,130.527792553,1.02631177132,101.311773181,49.8764754363,-0.0158144845318,
 ,1.98,0.947153798862,130.651089829,1.02627703001,101.435070457,49.8784451027,-0.0157157888612,
 ,2.0,0.947126244491,130.774173286,1.02624717381,101.558153914,49.8803907724,-0.0155594143048,
 ,2.02,0.947103175104,130.89561342,1.02622217725,101.679594048,49.8823182391,-0.0154145357329,
 ,2.04,0.947084268306,131.013899925,1.02620169102,101.797880554,49.8842414911,-0.0153473878024,
 ,2.06,0.947069196661,131.127518751,1.02618536032,101.91149938,49.8861813667,-0.0154161178583,
 ,2.08,0.947057873152,131.235027893,1.02617309087,102.019008522,49.888163676,-0.0156662572205,
 ,2.1,0.947050601844,131.33512866,1.02616521213,102.119109289,49.8902169387,-0.0161271933895,
 ,2.12,0.947048105243,131.42672993,1.02616250697,102.210710559,49.892369919,-0.0168099378049,
 ,2.14,0.947051424174,131.509003625,1.02616610316,102.292984253,49.8946491586,-0.0177063686462,
 ,2.16,0.94706171194,131.581430174,1.02617725034,102.365410802,49.8970767007,-0.0187899985104,
 ,2.18,0.947079966575,131.643833117,1.02619702993,102.427813745,49.899668185,-0.0200181864479,
 ,2.2,0.947106758704,131.696402157,1.02622606022,102.480382786,49.9024314579,-0.0213355956088,
 ,2.22,0.947142014906,131.739704064,1.02626426165,102.523684693,49.9053657995,-0.0226786016869,
 ,2.24,0.947184906986,131.774680835,1.02631073684,102.558661463,49.9084618208,-0.0239802898747,
 ,2.26,0.947233877877,131.802634638,1.02636379866,102.586615266,49.9117020272,-0.0251756417705,
 ,2.28,0.947286808588,131.825199258,1.02642115109,102.609179886,49.9150619987,-0.0262065082221,
 ,2.3,0.947341302652,131.844298199,1.02648019747,102.628278828,49.918512087,-0.0270259870739,
 ,2.32,0.947395040318,131.862090252,1.02653842427,102.646070881,49.9220194893,-0.0276018729522,
 ,2.34,0.947446138964,131.880904196,1.02659379159,102.664884824,49.9255505355,-0.0279189161452,
 ,2.36,0.947493452416,131.903165318,1.02664505751,102.687145946,49.9290730015,-0.0279797156855,
 ,2.38,0.947536750956,131.931317424,1.02669197312,102.715298052,49.9325582646,-0.027804173782,
 ,2.4,0.947576744472,131.967744828,1.02673530761,102.751725456,49.9359831252,-0.0274275493398,
 ,2.42,0.947614939574,132.014699238,1.02677669345,102.798679866,49.9393311456,-0.0268972603518,
 ,2.44,0.947653352051,132.074236406,1.02681831482,102.858217035,49.9425933962,-0.0262686896398,
 ,2.46,0.947694122868,132.148166757,1.02686249155,102.932147386,49.9457685475,-0.0256003360738,
 ,2.48,0.947739103624,132.238023091,1.0269112299,103.022003719,49.9488623001,-0.0249487146036,
 ,2.5,0.947789482785,132.345046941,1.02696581763,103.129027569,49.9518862046,-0.0243634357085,
 ,2.52,0.947845516108,132.470193523,1.02702653186,103.254174151,49.9548559705,-0.0238828839648,
 ,2.54,0.947906405304,132.614153612,1.02709250761,103.39813424,49.9577894119,-0.0235308662744,
 ,2.56,0.947970341984,132.777389393,1.02716178543,103.561370021,49.9607042065,-0.0233145171938,
 ,2.58,0.948034704478,132.960180449,1.02723152463,103.744161077,49.9636156609,-0.0232236398351,
 ,2.6,0.948096368629,133.162675656,1.02729834007,103.946656284,49.9665346737,-0.0232315367543,
 ,2.62,0.948152074898,133.384946837,1.02735869992,104.168927465,49.9694660714,-0.0232972580014,
 ,2.64,0.948198786211,133.627040531,1.0274093134,104.411021159,49.9724074611,-0.0233690746408,
 ,2.66,0.948233975273,133.889024966,1.02744744208,104.673005594,49.9753486983,-0.023388885543,
 ,2.68,0.948255795366,134.171030212,1.02747108498,104.95501084,49.97827202,-0.0232971906662,
 ,2.7,0.948263111978,134.47328029,1.02747901281,105.257260918,49.9811528361,-0.0230382202843,
