Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),
Configuration Field Inputs,50,50,4,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Frequency,ROCOF,
 ,1.38,1.01315523673,145.455763327,2.20270545273,-159.390183614,1.14611295634,-91.2418550577,1.14611295634,-91.2418550577,49.9559462581,-0.00733121089215,
 ,1.4,1.0134641241,145.569647075,2.18857932979,-158.679720333,1.13871786168,-91.689665219,1.13871786168,-91.689665219,49.9567412719,-0.00668372369303,
 ,1.42,1.01380476339,145.617621477,2.17084961766,-157.858866154,1.12936257689,-92.3678027943,1.12936257689,-92.3678027943,49.9575334539,-0.0064544735028,
 ,1.44,1.01417038564,145.600652006,2.14995325257,-156.928339879,1.11828811642,-93.2748050912,1.11828811642,-93.2748050912,49.9583779067,-0.00665504518587,
 ,1.46,1.01455410506,145.520106192,2.12638879919,-155.888581014,1.10576969167,-94.4088329506,1.10576969167,-94.4088329506,49.9593247288,-0.00726280858262,
 ,1.48,1.01494894239,145.377765715,2.1007008084,-154.739915686,1.09211053561,-95.7674912346,1.09211053561,-95.7674912346,49.9604151324,-0.00822328181136,
 ,1.5,1.01534781779,145.175835112,2.07346337439,-153.482760861,1.07763599833,-97.3476160717,1.07763599833,-97.3476160717,49.9616783214,-0.00945492325498,
 ,1.52,1.01574354755,144.91694551,2.04526384556,-152.117850553,1.06268783303,-99.1450185949,1.06268783303,-99.1450185949,49.9631293478,-0.0108558952752,
 ,1.54,1.01612887429,144.604151898,2.01668760043,-150.646466953,1.04761849681,-101.15417799,1.04761849681,-101.15417799,49.964768087,-0.0123122192427,
 ,1.56,1.01649654962,144.240922816,1.98830465104,-149.070661391,1.03278523554,-103.367884207,1.03278523554,-103.367884207,49.966579384,-0.0137066630673,
 ,1.58,1.016839474,143.831121762,1.96065859515,-147.393454411,1.01854372148,-105.776842386,1.01854372148,-105.776842386,49.9685343294,-0.0149276671381,
 ,1.6,1.01715088429,143.37898017,1.93425812511,-145.619009966,1.00524106899,-108.369265744,1.00524106899,-108.369265744,49.9705925435,-0.0158776223189,
 ,1.62,1.01742456819,142.889062246,1.90957095254,-143.752784,0.993208163687,-111.130499132,0.993208163687,-111.130499132,49.9727052645,-0.0164798668345,
 ,1.64,1.01765507865,142.36622246,1.88701967367,-141.801650475,0.982751389521,-114.042728432,0.982751389521,-114.042728432,49.9748189793,-0.0166838700474,
 ,1.66,1.01783792142,141.815556811,1.86697884074,-139.774006608,0.974144006027,-117.084837304,0.974144006027,-117.084837304,49.9768792944,-0.0164682193055,
 ,1.68,1.01796969475,141.242349278,1.84977238117,-137.679853529,0.967617588159,-120.232468651,0.967617588159,-120.232468651,49.9788347327,-0.0158412131249,
 ,1.7,1.01804816914,140.652015032,1.83567055934,-135.530840019,0.963354063354,-123.458331067,0.963354063354,-123.458331067,49.9806401538,-0.0148390741713,
 ,1.72,1.01807230646,140.050042034,1.82488591547,-133.34024856,0.961478936848,-126.732760999,0.961478936848,-126.732760999,49.9822595413,-0.013522006743,
 ,1.74,1.01804222704,139.441932619,1.81756800617,-131.122898443,0.962056265937,-130.024513829,0.962056265937,-130.024513829,49.9836679598,-0.0119685118009,
 ,1.76,1.01795914039,138.833146485,1.81379723491,-128.894943482,0.965085822773,-133.301719492,0.965085822773,-133.301719492,49.9848525686,-0.0102685166543,
 ,1.78,1.01782525778,138.229046375,1.81357849386,-126.673553366,0.970502689903,-136.53290983,0.970502689903,-136.53290983,49.9858126622,-0.00851596102379,
 ,1.8,1.0176437037,137.634847434,1.81683563929,-124.476486336,0.978179299623,-139.688013126,0.978179299623,-139.688013126,49.9865587945,-0.0068014995824,
 ,1.82,1.01741843844,137.055571065,1.82340791604,-122.321582254,0.987929703883,-142.73921911,0.987929703883,-142.73921911,49.9871111172,-0.0052059349916,
 ,1.84,1.01715419756,136.496003866,1.83304931427,-120.226223316,0.999515689087,-145.661642315,0.999515689087,-145.661642315,49.9874971235,-0.00379489419539,
 ,1.86,1.0168564471,135.960662076,1.84543151891,-118.206819278,1.01265425632,-148.433745905,1.01265425632,-148.433745905,49.9877490231,-0.00261511913025,
 ,1.88,1.01653134757,135.453761833,1.8601506829,-116.278372154,1.02702597613,-151.037523094,1.02702597613,-151.037523094,49.9879009942,-0.0016925787181,
 ,1.9,1.01618571569,134.979195408,1.87673781741,-114.454162757,1.04228378184,-153.458461822,1.04228378184,-153.458461822,49.9879865476,-0.00103243984562,
 ,1.92,1.0158269716,134.540513478,1.89467223059,-112.745581743,1.05806185886,-155.68533628,1.05806185886,-155.68533628,49.9880362185,-0.000620776294973,
 ,1.94,1.01546305946,134.140913297,1.9133972119,-111.162106357,1.07398439013,-157.709875833,1.07398439013,-157.709875833,49.988075754,-0.000427757876111,
 ,1.96,1.01510233207,133.783232479,1.93233706087,-109.711405591,1.08967400877,-159.526359893,1.08967400877,-159.526359893,49.9881249169,-0.000411954809333,
 ,1.98,1.01475339328,133.469947852,1.95091457707,-108.399543994,1.1047598753,-161.131179688,1.1047598753,-161.131179688,49.9881969619,-0.000525318823753,
 ,2.0,1.01442489652,133.203178675,1.96856822586,-107.231248724,1.11888533678,-162.522397965,1.11888533678,-162.522397965,49.9882987813,-0.000718364864289,
 ,2.02,1.01412530175,132.984693353,1.9847683353,-106.210204804,1.13171514413,-163.699327817,1.13171514413,-163.699327817,49.9884316544,-0.000945076891493,
 ,2.04,1.01386259826,132.815918728,1.99903183583,-105.339347908,1.14294220763,-164.662143678,1.14294220763,-164.662143678,49.9885924829,-0.00116709862634,
 ,2.06,1.01364400453,132.69795106,2.0109352079,-104.621130474,1.15229386706,-165.411531663,1.15229386706,-165.411531663,49.9887753527,-0.00135684417253,
 ,2.08,1.01347566091,132.631568,2.02012544249,-104.057743803,1.15953764621,-165.948382904,1.15953764621,-165.948382904,49.9889732367,-0.00149927056624,
 ,2.1,1.01336233413,132.617241011,2.02632893862,-103.651284941,1.16448645303,-166.273532028,1.16448645303,-166.273532028,49.989179644,-0.00159218660709,
 ,2.12,1.01330715484,132.655147986,2.02935835324,-103.403861982,1.16700317627,-166.387543003,1.16700317627,-166.387543003,49.9893900365,-0.00164511780198,
 ,2.14,1.01331141026,132.745185971,2.02911747514,-103.317634821,1.16700461494,-166.290545749,1.16700461494,-166.290545749,49.9896028568,-0.0016768904312,
 ,2.16,1.01337441244,132.886984042,2.02560421133,-103.394790317,1.16446465816,-165.982128766,1.16446465816,-165.982128766,49.989820064,-0.00171222226518,
 ,2.18,1.01349345892,133.079916374,2.01891174928,-103.637451619,1.15941660808,-165.461295174,1.15941660808,-165.461295174,49.9900471192,-0.00177769882989,
 ,2.2,1.0136638966,133.323115479,2.00922789598,-104.047521425,1.15195451088,-164.726491678,1.15195451088,-164.726491678,49.9902924261,-0.0018975625707,
 ,2.22,1.01387929146,133.615485402,1.99683250508,-104.626458733,1.14223333068,-163.775721744,1.14223333068,-163.775721744,49.9905662843,-0.00208974417607,
 ,2.24,1.01413169826,133.955714468,1.98209280196,-105.374988987,1.13046777428,-162.606755159,1.13046777428,-162.606755159,49.9908794579,-0.002362523423,
 ,2.26,1.01441201502,134.342287042,1.96545632413,-106.292749321,1.11692955364,-161.217445662,1.11692955364,-161.217445662,49.9912414993,-0.00271212902641,
 ,2.28,1.0147103994,134.773493655,1.94744113566,-107.37787476,1.10194286495,-159.606165497,1.10194286495,-159.606165497,49.9916589857,-0.00312148440818,
 ,2.3,1.01501671819,135.247438939,1.92862297535,-108.626538718,1.08587787411,-157.772359586,1.08587787411,-157.772359586,49.9921338312,-0.00356019190683,
 ,2.32,1.0153209986,135.762046995,1.90961908637,-110.032472107,1.06914203797,-155.717211311,1.06914203797,-155.717211311,49.9926618268,-0.003985734242,
 ,2.34,1.01561385003,136.315064187,1.89106867294,-111.586499455,1.05216916891,-153.444395827,1.05216916891,-153.444395827,49.9932315396,-0.00434577021406,
 ,2.36,1.0158868294,136.904059756,1.87361024679,-113.276145384,1.03540627984,-150.960875318,1.03540627984,-150.960875318,49.993823671,-0.00458131980131,
 ,2.38,1.01613272962,137.526425102,1.85785655338,-115.085377011,1.01929843561,-148.277665496,1.01929843561,-148.277665496,49.9944109355,-0.00463057699769,
 ,2.4,1.01634577947,138.179372949,1.84436826089,-116.994552071,1.00427208726,-145.410478179,1.00427208726,-145.410478179,49.9949584861,-0.00443305792582,
 ,2.42,1.01652175298,138.859937831,1.83362807357,-118.980633434,0.990717660591,-142.380128247,0.990717660591,-142.380128247,49.9954248699,-0.00393378498363,
 ,2.44,1.01665799473,139.564979367,1.82601728222,-121.017704882,0.978972471285,-139.212593768,0.978972471285,-139.212593768,49.9957634658,-0.00308722081843,
 ,2.46,1.01675337457,140.291189619,1.82179686748,-123.077781564,0.969305276467,-135.938643765,0.969305276467,-135.938643765,49.9959243231,-0.00186069390446,
 ,2.48,1.01680818917,141.035105488,1.8210950376,-125.13185854,0.961903865043,-132.593001773,0.961903865043,-132.593001773,49.9958562951,-0.000237096292146,
 ,2.5,1.01682402858,141.793126656,1.82390249428,-127.151094356,0.956866961425,-129.213088426,0.956866961425,-129.213088426,49.9955093444,0.00178331893707,
 ,2.52,1.01680362383,142.561539114,1.83007586163,-129.107997043,0.954201340612,-125.837465941,0.954201340612,-125.837465941,49.9948368817,0.0041821590798,
 ,2.54,1.01675068768,143.336543903,1.83934875115,-130.977476825,0.953824469977,-122.504168657,0.953824469977,-122.504168657,49.993798001,0.00692319027013,
 ,2.56,1.01666975528,144.114290396,1.85134907572,-132.73765436,0.955572320142,-119.249127068,0.955572320142,-119.249127068,49.9923594746,0.00995370531482,
 ,2.58,1.01656602679,144.890913264,1.86562064027,-134.370358187,0.95921137855,-116.104870141,0.95921137855,-116.104870141,49.9904973875,0.0132068841671,
 ,2.6,1.01644521048,145.662572235,1.88164681841,-135.861297137,0.96445349155,-113.099630275,0.96445349155,-113.099630275,49.9881983148,0.0166050021121,
 ,2.62,1.01631336254,146.425493788,1.8988742589,-137.199939636,0.970972025378,-110.256896762,0.970972025378,-110.256896762,49.9854599715,0.020063278847,
 ,2.64,1.01617672016,147.176014013,1.91673496561,-138.379162998,0.978417960518,-107.595389811,0.978417960518,-107.595389811,49.9822913035,0.0234941120983,
 ,2.66,1.01604152587,147.91062197,1.93466563,-139.394749203,0.986434840121,-105.12937455,0.986434840121,-105.12937455,49.978712026,0.0268114076698,
 ,2.68,1.01591384394,148.626002906,1.95212364856,-140.244801505,0.994671877831,-102.869209345,0.994671877831,-102.869209345,49.9747516517,0.029934708127,
 ,2.7,1.01579937284,149.319080716,1.96859973977,-140.929143924,1.00279490192,-100.822022186,1.00279490192,-100.822022186,49.9704480894,0.0327928367708,
 ,2.72,1.01570326031,149.987058958,1.98362744116,-141.44874882,1.01049511256,-98.9924245887,1.01049511256,-98.9924245887,49.9658459193,0.0353268120061,
 ,2.74,1.01562992986,150.627459647,1.99679000352,-141.805220971,1.01749583494,-97.3831956131,1.01749583494,-97.3831956131,49.9609944736,0.0374918471253,
 ,2.76,1.01558292762,151.238158963,2.00772531664,-142.000352678,1.0235575671,-95.9958919407,1.0235575671,-95.9958919407,49.9559458575,0.0392583270321,
 ,2.78,1.01556479785,151.817418924,2.01612951887,-142.035754619,1.02848166574,-94.8313595908,1.02848166574,-94.8313595908,49.9507530448,0.0406117399632,
 ,2.8,1.01557699335,152.363914097,2.02175988481,-141.91256144,1.03211300722,-93.890136964,1.03211300722,-93.890136964,49.9454681676,0.0415516306437,
 ,2.82,1.01561982389,152.87675245,2.02443747337,-141.631208885,1.03434192212,-93.1727476625,1.03434192212,-93.1727476625,49.9401410962,0.0420897231238,
 ,2.84,1.01569244314,153.355489629,2.02404987047,-141.191279606,1.03510564201,-92.6798857488,1.03510564201,-92.6798857488,49.9348183731,0.0422474285257,
 ,2.86,1.01579287143,153.800136154,2.02055419274,-140.591416902,1.03438942337,-92.4124969261,1.03438942337,-92.4124969261,49.92954253,0.0420529981898,
 ,2.88,1.01591805028,154.211157295,2.01398034271,-139.829308602,1.03222742858,-92.3717576274,1.03222742858,-92.3717576274,49.92435178,0.0415386016079,
 ,2.9,1.01606392375,154.589465656,2.00443433289,-138.901746597,1.02870334847,-92.5589512143,1.02870334847,-92.5589512143,49.9192800423,0.0407375991652,
 ,2.92,1.01622554206,154.936406796,1.99210133166,-137.804770487,1.02395064672,-92.975237411,1.02395064672,-92.975237411,49.9143572318,0.0396822434321,
 ,2.94,1.01639718439,155.253738413,1.97724793525,-136.533905999,1.01815219509,-93.6213089069,1.01815219509,-93.6213089069,49.9096097242,0.0384019839268,
 ,2.96,1.01657249931,155.54360378,1.96022304006,-135.084509485,1.01153895801,-94.496929176,1.01153895801,-94.496929176,49.9050609034,0.0369224759631,
 ,2.98,1.01674466289,155.808500266,1.9414565853,-133.452228171,1.00438728508,-95.6003497558,1.00438728508,-95.6003497558,49.9007316959,0.0352653130654,
 ,3.0,1.01690655558,156.051243771,1.92145536686,-131.633580604,0.997014299839,-96.9276154263,0.997014299839,-96.9276154263,49.8966410126,0.0334484237922,
 ,3.02,1.01705095872,156.274929971,1.90079510725,-129.626651804,0.989770857948,-98.4717835065,0.989770857948,-98.4717835065,49.8928060381,0.0314870062166,
