Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),
Configuration Field Inputs,50,50,9,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Frequency,ROCOF,
 ,21.62,0.965400384815,55.3385298059,0.283250544661,145.674857517,0.19588853155,164.666473757,0.19588853155,164.666473757,0.866306970669,-141.544889169,0.853788034378,54.5709869323,1.54286902349,-135.379398334,1.54286902349,-135.379398334,0.417481725244,-146.332351695,49.5421984278,0.0414735590126,
 ,21.64,0.966354860482,59.2836476097,0.283068257939,150.045881853,0.201932032546,166.577511791,0.201932032546,166.577511791,0.868754020205,-137.281422787,0.853319729374,58.4580629416,1.54466582036,-131.279631603,1.54466582036,-131.279631603,0.418412102231,-142.070573604,49.5373498259,0.0395354972193,
 ,21.66,0.967323213253,63.2755193205,0.282655650359,154.646037658,0.208448682401,168.527729727,0.208448682401,168.527729727,0.870863438763,-132.97800183,0.852342753304,62.3832204585,1.5464348943,-127.129069379,1.5464348943,-127.129069379,0.419189817968,-137.770635264,49.5327811901,0.0374061836807,
 ,21.68,0.968293653057,67.3072005285,0.282034777616,159.476649691,0.215372120721,170.512020103,0.215372120721,170.512020103,0.872649017056,-128.643619411,0.850811146277,66.3395314602,1.54818063037,-122.936275709,1.54818063037,-122.936275709,0.419822563877,-133.441308112,49.5285107987,0.0351155744236,
 ,21.7,0.969254447678,71.3713243589,0.281240987702,164.538089475,0.222638618037,172.526883503,0.222638618037,172.526883503,0.874121524468,-124.287715986,0.848687991594,70.3197258355,1.54989820117,-118.710374292,1.54989820117,-118.710374292,0.420316673632,-129.09183677,49.5245543671,0.032687811834,
 ,21.72,0.970193303286,75.460098806,0.280323916066,169.829335402,0.230183495063,174.569545869,0.230183495063,174.569545869,0.875286110124,-119.920165959,0.845945818512,74.3162174964,1.55157734635,-114.461043292,1.55157734635,-114.461043292,0.42067589434,-124.731937774,49.5209238272,0.0301513072964,
 ,21.74,0.971097621259,79.565397191,0.279348242309,175.347186393,0.237940827683,176.638200692,0.237940827683,176.638200692,0.876142992052,-115.55112498,0.84256840229,78.3212143563,1.55320199696,-110.198380347,1.55320199696,-110.198380347,0.420901664337,-120.371645149,49.5176281134,0.0275305581844,
 ,21.76,0.971955904494,83.6789275004,0.278393224375,-178.914732033,0.24584568091,178.733172903,0.24584568091,178.733172903,0.876690680946,-111.190825332,0.838553918801,82.3268720551,1.55474720167,-105.932636621,1.55474720167,-105.932636621,0.420994601613,-116.021093851,49.5146747221,0.0248416720303,
 ,21.78,0.972758334817,87.792315084,0.277551075149,-172.966983287,0.253833262853,-179.143519366,0.253833262853,-179.143519366,0.876926902664,-106.8494841,0.83391605561,86.3253762078,1.55618160008,-101.674044266,1.55618160008,-101.674044266,0.420954928619,-111.690424873,49.5120697818,0.0220974374858,
 ,21.8,0.973497110677,91.8971744934,0.276923930734,-166.825406526,0.261838067903,-176.988776849,0.261838067903,-176.988776849,0.876849105555,-102.537219434,0.828684420086,90.3090189552,1.55747085249,-97.4326595074,1.55747085249,-97.4326595074,0.42078269844,-107.389699824,49.50981823,0.0193084298416,
